0;1;2;3;4;5
"Song
";"Artist(s)
";"Writer(s)
";"Album
";"Year
";"Ref.
"
"""The 1""
";;;;;
"""22""
";;;;;
"""Afterglow""
";;;;;
"""All Too Well""
";;;;;
"""All You Had to Do Was Stay""
";;;;;
"""American Girl"" (cover)
";;;;;
"""The Archer""
";;;;;
"""August""
";;;;;
" ""Babe""
";;;;;
"""Back to December""
";;;;;
"""Bad Blood"" (album version)
";;;;;
"""Bad Blood"" (remixed single version)
";;;;;
"""Beautiful Eyes""
";;;;;
"""Beautiful Ghosts""
";;;;;
"""Begin Again""
";;;;;
"""The Best Day""
";;;;;
"""Bette Davis Eyes"" (live cover)
";;;;;
"""Better than Revenge""
";;;;;
"""Betty""
";;;;;
"""Big Star (Live)""
";;;;;
"""Blank Space""
";;;;;
"""Both of Us""
";;;;;
"""Breathe""
";;;;;
"""Breathless"" (cover)
";;;;;
" ""Call It What You Want""
";;;;;
"""Cardigan""
";;;;;
"""Champagne Problems""
";;;;;
"""Change""
";;;;;
"""Christmas Must Be Something More""
";;;;;
"""Christmas Tree Farm""
";;;;;
"""Christmases When You Were Mine""
";;;;;
"""Clean""
";;;;;
"""Closure""
";;;;;
"""Cold as You""
";;;;;
"""Come Back... Be Here""
";;;;;
"""Come in with the Rain""
";;;;;
"""Coney Island""
";;;;;
"""Cornelia Street""
";;;;;
"""Cowboy Like Me""
";;;;;
"""Crazier""
";;;;;
"""Cruel Summer""
";;;;;
" ""Dancing with Our Hands Tied""
";;;;;
"""Daylight""
";;;;;
"""Death by a Thousand Cuts""
";;;;;
"""Dear John""
";;;;;
"""Delicate""
";;;;;
"""Don't Blame Me""
";;;;;
"""Dorothea""
";;;;;
"""Dress""
";;;;;
"""Drops of Jupiter"" (live cover)
";;;;;
" ""Enchanted""
";;;;;
"""End Game""
";;;;;
"""Epiphany""
";;;;;
"""Evermore""
";;;;;
"""Everything Has Changed""
";;;;;
"""Exile""
";;;;;
"""Eyes Open""
";;;;;
" ""False God""
";;;;;
" ""Fearless""
";;;;;
"""Fifteen""
";;;;;
"""Forever & Always""
";;;;;
"""Forever & Always"" (piano version)
";;;;;
" ""Getaway Car""
";;;;;
"""Girl at Home""
";;;;;
"""Gold Rush""
";;;;;
"""Gorgeous""
";;;;;
" ""Half of My Heart"" (album version)
";;;;;
"""Happiness""
";;;;;
"""Haunted""
";;;;;
"""Hey Stephen""
";;;;;
"""Highway Don't Care""
";;;;;
"""Hoax""
";;;;;
"""Hold On"" (live cover)
";;;;;
"""Holy Ground""
";;;;;
"""How You Get the Girl""
";;;;;
" ""I Almost Do""
";;;;;
"""I Did Something Bad""
";;;;;
"""I Don't Wanna Live Forever""
";;;;;
"""I Forgot That You Existed""
";;;;;
"""I Heart ?""
";;;;;
"""I Knew You Were Trouble""
";;;;;
"""I Know Places""
";;;;;
"""I Think He Knows""
";;;;;
"""I Want You Back"" (live cover)
";;;;;
"""I Wish You Would""
";;;;;
"""If This Was a Movie""
";;;;;
"""Illicit Affairs""
";;;;;
"""Innocent""
";;;;;
"""Invisible""
";;;;;
"""Invisible String""
";;;;;
"""It's Nice to Have a Friend""
";;;;;
"""It's Time to Go""
";;;;;
"""I'm Only Me When I'm with You""
";;;;;
"""Ivy""
";;;;;
" ""Jump Then Fall""
";;;;;
" ""King of My Heart""
";;;;;
"""The Lakes""
";;;;;
"""Last Christmas"" (cover)
";;;;;
"""The Last Great American Dynasty""
";;;;;
"""Last Kiss""
";;;;;
"""The Last Time""
";;;;;
"""Long Live""
";;;;;
"""Long Live"" (single version)
";;;;;
"""Long Story Short""
";;;;;
"""London Boy""
";;;;;
"""Look What You Made Me Do""
";;;;;
"""Love Story""
";;;;;
"""Lover""
";;;;;
"""Lover (Remix)""
";;;;;
"""The Lucky One""
";;;;;
" ""Macavity"" (cover)
";;;;;
"""Mad Woman""
";;;;;
"""The Man""
";;;;;
"""Marjorie""
";;;;;
"""Mary's Song (Oh My My My)""
";;;;;
"""Me!""
";;;;;
"""Mean""
";;;;;
"""Mine""
";;;;;
"""Mirrorball""
";;;;;
"""Miss Americana & the Heartbreak Prince""
";;;;;
"""The Moment I Knew""
";;;;;
"""My Tears Ricochet""
";;;;;
" ""Never Grow Up""
";;;;;
"""New Romantics""
";;;;;
"""New Year's Day""
";;;;;
"""No Body, No Crime""
";;;;;
" ""Only the Young""
";;;;;
"""The Other Side of the Door""
";;;;;
